Place,Latitude,Longitude
Sint-Oedenrode,51.56667,5.45972
Sint Willebrord,51.54861,4.58889
Slabroek,51.69722,5.60139
Sleeuwijk,51.81528,4.95278
Sliffert,51.43611,5.42361
Slikkenburg,51.52917,4.25000
Sloot,51.40417,5.83333
Sluis Dertien,50.84444,5.74167
Sneidershoek,51.38889,5.32917
Snijders-Chaam,51.52917,4.85417
Soerendonk,51.30139,5.57500
Someren,51.38472,5.71111
Someren-Eind,51.35694,5.73333
Someren-Heide,51.35000,5.69861
Son,51.51667,5.48750
Sonniuswijk,51.52639,5.46250
Spaanrijt,51.31111,5.29028
Spaansehoek,51.52361,5.01111
Spekklef,51.59583,5.85278
Spekt,51.49583,5.53889
Spijk,51.76944,5.12083
Spijkert,51.33056,5.30139
Spinolaberg,51.51389,4.26944
Spoordonk,51.51806,5.27083
Sprang-Capelle,51.67500,5.01389
Sprangsevaart,51.66111,5.06250
Sprokkelbosch,51.72083,5.38333
Sprundel,51.53750,4.59722
Stabrecht,51.38611,5.58056
Stadse Dijk,51.66667,4.43750
Stad van Gerwen,51.50833,5.54028
Stampersgat,51.61250,4.44444
Standdaarbuiten,51.61389,4.51389
Startwijk,51.66389,5.93056
Statendam,51.68889,4.83889
Steelhoven,51.68194,4.82778
Steenbergen,51.58472,4.31944
Steenoven,51.60833,4.90278
Steenpaal,51.47917,4.48611
Steensel,51.37639,5.35278
Stegen,51.41250,5.76111
Stenenheul,51.77778,5.01250
Sterksel,51.35139,5.61111
Stevensbeek,51.60278,5.91667
Stevert,51.36806,5.36389
Stipdonk,51.44444,5.68472
Stiphout,51.48611,5.61806
Stokkelen,51.34861,5.32778
Stokske,51.55139,5.19028
Stoof,51.59861,4.47778
Straten,51.51111,5.34306
Strepen,51.64028,5.64306
Strijbeek,51.50278,4.79583
Strijp,51.50000,5.62917
Strikberg,51.62222,4.77500
Strooiendorp,51.68056,4.69306
Stuivezand,51.66944,4.76667
t Coll,51.44583,5.54167
Teeffelen,51.79722,5.49306
Ten Vorsel,51.34722,5.22222
Ter Aalst,51.64028,4.80556
Tereyken,51.52639,5.69028
Terheijden,51.64306,4.75417
Terover,51.47222,4.97083
Tervoort,51.57500,4.83889
Teteringen,51.60972,4.82083
t Haantje,51.56944,4.38333
Theetuin,51.49722,5.30833
t Herselt,51.60833,5.98889
t Hoekske,51.59444,5.13333
t Hof,51.51111,5.59167
Tielse Hoeve,51.64583,5.37500
Tiggelt,51.50972,4.68750
Tiggeltscheberg,51.52083,4.67361
Tilburg,51.56389,5.07500
Timmereind,51.37917,5.43472
t Marktje,51.42639,4.30833
Tommel,51.43194,4.92500
Tongeren,51.59167,5.28889
Tonnekreek,51.67778,4.49306
Toom,51.26944,5.55972
Toterfout,51.41667,5.34861
Toven,51.64028,5.85833
Tregelaar,51.52778,5.30694
Trent,51.68056,5.70000
Trimpert,51.42917,5.62083
Tuuthees,51.60417,5.98333
t Winkel,51.61944,5.18194
t Zand,51.81389,4.96250
Uden,51.66111,5.61944
Udenhout,51.60972,5.14306
Uitwijk,51.78611,5.00694
Ulicoten,51.45694,4.85833
Ullingen,51.63472,5.85833
Ulvenhout,51.55000,4.80000
Uppel,51.78889,4.93889
Urkhoven,51.43611,5.53194
Vaareind,51.58750,4.71667
Vaarle,51.45833,5.57917
Vaarsche Hoef,51.40556,5.67917
Vaart,51.64444,4.96528
Valkenhorst,51.35278,5.50139
Valkenswaard,51.35000,5.45972
Veen,51.77778,5.10833
Veghel,51.61667,5.54861
Veldbraak,51.44028,4.96389
Veldhoven,51.41806,5.40278
Velmolen,51.65000,5.63611
Velp,51.74861,5.71806
Ven,51.51667,5.74722
Venbergen,51.33472,5.45278
Veneind,51.41667,5.29722
Venhorst,51.60833,5.73750
Venweg,51.46111,4.94167
Verhoven,51.55000,4.92361
Verlorenhoek,51.66250,5.81667
Verloren Hoek,51.60556,4.68333
Vernhout,51.53750,5.43750
Verreheide,51.57778,5.69583
Vessem,51.42083,5.28889
Vetterik,51.51528,4.27222
Vianen,51.71806,5.85694
Vierbannen,51.74861,4.90972
Vierlingsbeek,51.59583,6.00972
Vijcie,51.81944,4.91667
Vijfhoek,51.50694,4.36389
Vijfhuizen,51.52222,4.98472
Vinkel,51.70556,5.46250
Vinkenberg,51.53333,5.17778
Vinkenbroek,51.52222,4.41111
Visberg,51.55278,4.41667
Visdonk,51.50278,4.48472
Vlagberg,51.61250,5.85972
Vlas,51.36944,5.71528
Vleet,51.45556,4.40000
Vlierden,51.44583,5.75833
Vlijmen,51.69722,5.21667
Vloeieind,51.44444,5.77083
Vloet,51.64583,5.64444
Voederheil,51.70694,5.66528
Volkel,51.64306,5.65417
Voordeldonk,51.40278,5.77500
Voordijk,51.70694,5.22639
Vooreind,51.39028,5.16528
Voorste Beersdonk,51.44167,5.72639
Voorste Brug,51.28472,5.42639
Voorste Diesdonk,51.42361,5.71667
Voorste Heikant,51.34583,5.15417
Voort,51.34861,5.38750
Voorteind,51.47500,5.24306
Voortje,51.42639,5.63472
Vorstenbosch,51.65278,5.55000
Vortum-Mullem,51.62083,5.97778
Voske,51.44861,4.97639
Vosselen,51.41389,5.72639
Vossenberg,51.54583,4.96389
Vrachelen,51.65278,4.82639
Vreewijk,51.44306,5.79861
Vrilkhoven,51.56667,5.35139
Vroenhout,51.54306,4.41944
Vuchtschoot,51.56111,4.70556
Vught,51.65417,5.28750
Waalre,51.38611,5.44444
Waalwijk,51.68333,5.07083
Waardhuizen,51.77639,5.00417
Wagenberg,51.66528,4.74861
Walik,51.35833,5.36667
Walsert,51.65417,5.85417
Wamberg,51.69444,5.37222
Wanroij,51.65694,5.81806
Waspik,51.68750,4.94444
Waterkant,51.54722,4.26528
Waterstraat,51.47639,5.16250
Weebosch,51.30833,5.29444
Weeg,51.63750,5.63194
Weilenseind,51.53472,4.94444
Weimeren,51.45000,4.62778
Welberg,51.57639,4.33056
Werkendam,51.80972,4.89444
Wernhout,51.45556,4.64167
Wernhoutsbrug,51.42778,4.62500
Werveld,51.68889,5.92778
Westelbeers,51.44444,5.21111
Westerbeek,51.58194,5.86250
Westerhoven,51.33333,5.39583
Westerwijk,51.51111,5.13194
Westrik,51.59306,4.71944
Wielsche Hoeven,51.62778,5.35694
Wijbosch,51.61667,5.46806
Wijk en Aalburg,51.75694,5.12917
Wilbertoord,51.65556,5.77500
Wildert,51.46111,4.66944
Willemstad,51.69167,4.43889
Willibrordushoek,51.59583,5.50694
Winkel,51.61250,5.16944
Winkelstraat,51.43611,5.65417
Wintelre,51.44444,5.34028
Witrijt,51.31250,5.26389
Witte Dellen,51.68750,5.71944
Woensdrecht,51.43056,4.30278
Wolfsbosch,51.56389,5.71389
Wolfshoek,51.40000,5.35556
Wolfswinkel,51.52500,5.49306
Woud,51.65417,5.37778
Woudrichem,51.81528,5.00139
Wouw,51.52222,4.39028
Wouwse Hil,51.49722,4.39861
Wouwse Plantage,51.48333,4.38750
Zaarvlaas,51.51806,5.73611
Zand,51.50972,5.74722
Zandeind,51.53194,5.01250
Zandfort,51.43472,4.32361
Zandhoek,51.59722,5.66250
Zandkant,51.63333,5.90278
Zandoerle,51.41528,5.35833
Zandwijk,51.77778,4.97500
Zeeland,51.69722,5.67639
Zeelberg,51.34028,5.47500
Zeelst,51.42306,5.41639
Zegge,51.55694,4.51806
Zelt,51.52639,5.17778
Zevenbergen,51.73056,5.57500
Zevenbergschen Hoek,51.67222,4.67917
Zevenhuis,51.70000,5.65972
Zevenhuizen,51.34306,5.56111
Zevenhutten,51.71528,5.87639
Zijp,51.60694,5.70556
Zijtaart,51.59306,5.54167
Zittard,51.40694,5.36806
Zoggel,51.73056,5.49444
Zomerven,51.38056,5.66389
Zondveld,51.57500,5.55694
Zoomvliet,51.49444,4.35833
Zuid-Carolina,51.69306,5.73889
Zuidgeest,51.46667,4.30833
Zundert,51.47222,4.65556
Zwartenberg,51.62361,4.63611
Zwijnsbergen,51.52639,5.50694
Zwingelspaan,51.65972,4.49583
