Place,Latitude,Longitude
De Rijtjes,51.70833,5.93056
De Rips,51.55000,5.80972
De Rotting,51.53472,4.37222
De Schietbaan,51.51667,4.52917
Deurne,51.45972,5.79722
Deursen-Dennenburg,51.80139,5.62778
Deuteren,51.68750,5.26667
De Vleut,51.53194,5.40833
De Voorstad,51.39861,5.83889
De Vorst,51.57083,5.32917
De Weijer,51.45694,5.71250
De Wind,51.57361,5.68472
De Wolfsputten,51.50556,5.67500
Dieden,51.81944,5.60972
Diepenbroek,51.46528,5.60417
Diessen,51.47500,5.17500
Dijk,51.41528,5.71389
Dinteloord,51.63472,4.36944
Dintelsas,51.65139,4.37639
Dinther,51.64583,5.48750
Dinthersehoek,51.65556,5.53611
Distelberg,51.65833,5.21806
Diunt,51.50833,4.74722
Doeveren,51.72222,5.08750
Dommelen,51.35556,5.43056
Dommelsvoort,51.73333,5.83333
Dongen,51.62639,4.93889
Donk,51.43194,5.27083
Donkersvoort,51.53889,5.59306
Donzel,51.71528,5.54722
Doonheide,51.56667,5.69444
Doornhoek,51.60139,5.53611
Dorshout,51.62500,5.52361
Dorst,51.59028,4.85694
Drie Hoefijzers,51.65833,4.69306
Driehoek,51.50278,5.49722
Driehuis,51.38472,5.32361
Driehuizen,51.64306,5.56944
Drimmelen,51.70694,4.80417
Drongelen,51.71667,5.05417
Druisdijk,51.51528,4.97917
Drunen,51.68611,5.13333
Duifhuis,51.63889,5.59583
Duiksehoef,51.64028,5.04444
Duizel,51.36806,5.29722
Duizend Morgen,51.80000,5.00972
Dun,51.43333,5.16111
Dussen,51.73056,4.96250
Duurendseind,51.78056,5.58611
Eeneind,51.45139,5.54722
Eerde,51.60417,5.49861
Eersel,51.35833,5.31806
Eethen,51.73194,5.05278
Effen,51.55278,4.72917
Egypte,51.35833,5.22083
Eikberg,51.55833,4.83333
Eikelenbosch,51.42639,4.90000
Eikenheuvel,51.63889,5.61111
Eiland,51.42778,4.36667
Eind,51.35278,5.39583
Eindhoven,51.44028,5.47778
Eindje,51.44167,5.67083
Eind van Den Hout,51.65972,4.79028
Elde,51.61667,5.41250
Elsendorp,51.58056,5.76944
Elshout,51.70139,5.14167
Elst,51.74444,5.45417
Empel,51.73056,5.32639
Eng,51.78333,5.01389
Engelen,51.72083,5.26528
Erp,51.60000,5.60694
Esbeek,51.46250,5.13750
Esch,51.61111,5.29028
Escharen,51.74306,5.74583
Esdonk,51.58194,5.66667
Esp,51.51944,5.72639
Etten-Leur,51.57361,4.64028
Euvelwegen,51.35972,5.59444
Evenheuvel,51.51944,5.31111
Everland,51.49583,4.45000
Everse,51.57222,5.48750
Ewinkel,51.73333,5.85139
Fijnaart,51.63750,4.46944
Fokkershoek,51.65833,5.45139
Franse Hoef,51.37639,5.19861
Gaete,51.70000,4.71667
Galder,51.51528,4.77639
Gassel,51.74167,5.78056
Gastel,51.28611,5.55556
Gastelsveer,51.58194,4.43472
Gebergte,51.43333,5.66528
Geeneind,51.49444,5.60556
Geersbroek,51.54028,4.82222
Geertruidenberg,51.70139,4.85694
Geffen,51.74028,5.46389
Geldrop,51.42222,5.55972
Gement,51.78056,5.56667
Gemert,51.55556,5.69028
Gemonde,51.61806,5.35694
Genderen,51.73611,5.08750
Geneneind,51.51111,5.73333
Gennep,51.42083,5.47361
Genoenhuis,51.40972,5.53889
Gerwen,51.49028,5.56250
Gever,51.59167,5.22361
Gewande,51.75139,5.34861
Giessen,51.79028,5.03056
Gijzel,51.62639,5.21528
Gijzenrooi,51.41111,5.52778
Gilze,51.54444,4.94028
Ginderdoor,51.50278,4.84028
Ginderover,51.37222,5.58472
Goor,51.45417,5.64028
Gorp,51.48333,5.08333
Gorpeind,51.42639,4.90417
Graspeel,51.68889,5.70000
Grave,51.75556,5.73750
Grazen,51.49028,4.82778
Groenendijk,51.64444,4.90139
Groenewoud,51.52222,5.62222
Groene Woud,51.50278,5.28194
Groeningen,51.60833,5.99722
Groenstraat,51.45694,5.14861
Groot-Bedaf,51.45139,5.00278
Groot Bruggen,51.47778,5.75417
Groote Bottel,51.45556,5.77500
Groote Hoeven,51.37500,5.70556
Groot Loo,51.48750,5.11389
Grotel,51.52083,5.69167
Grote Voort,51.50139,5.12500
Haanwijk,51.65417,5.32361
Haaren,51.60278,5.22222
Haarsteeg,51.71250,5.19861
Haart,51.68333,5.91389
Haghorst,51.49583,5.20694
Haiink,51.50694,4.41528
Hal,51.63056,5.31111
Halder,51.64861,5.32361
Halfmijl,51.41667,5.32500
Halsteren,51.52778,4.27500
Halte,51.44444,5.87222
Ham,51.65694,5.82917
Handel,51.58056,5.70972
