year;distance;frequency
1938;3.9;134
1937;3.9;132
1926;3.9;118
1927;3.9;116
1921;3.9;106
1922;7.1;106
1925;3.9;106
1939;3.9;104
1928;3.9;100
1936;3.9;98
1930;3.9;98
1921;7.1;94
1920;7.1;92
1920;3.9;92
1935;3.9;90
1941;5.9;90
1919;7.1;90
1927;7.1;86
1931;3.9;84
1929;3.9;84
1923;3.9;82
1925;5.9;80
1933;3.9;80
1939;5.9;78
1932;7.1;78
1924;7.1;78
1933;5.9;76
1930;7.1;76
1932;3.9;76
1928;5.9;76
1924;3.9;74
1930;5.9;74
1928;7.1;72
1941;7.5;72
1941;7.1;72
1929;7.1;72
1936;5.9;70
1919;6.2;70
1926;6.2;68
1940;6.2;68
1934;3.9;68
1929;5.9;68
1925;4.7;68
1907;7.1;68
1935;5.9;68
1931;7;68
1925;6.2;68
1939;5.2;66
1931;5.9;66
1925;7;66
1916;7.1;66
1933;6.2;66
1927;5.9;64
1937;6.2;64
1909;3.9;64
1919;3.9;64
1921;6.2;64
1939;4.7;64
1941;3.9;64
1926;7;62
1917;7.1;62
1893;3.9;62
1938;7.1;62
1941;5.5;62
1923;7.1;62
1934;5.2;62
1912;7.1;62
1935;7.1;62
1917;3.9;62
1913;3.9;62
1926;7.1;60
1914;3.9;60
1912;5.9;60
1924;6.2;60
1931;6.2;60
1932;5.9;60
1912;3.9;60
1924;5.9;60
1937;7.1;60
1939;5.5;58
1928;7.5;58
1923;5.9;58
1934;5.9;58
1900;7.1;58
1898;7.1;56
1899;7.1;56
1929;6.2;56
1927;7;56
1941;6.2;56
1858;5.9;56
1941;7;56
1908;3.9;56
1939;7.1;56
1911;7;56
1866;7.1;56
1815;7;56
1936;6.2;56
1919;4.7;56
1922;5.9;56
1908;7.1;56
1930;6.2;56
1902;5.9;54
1940;4.7;54
1875;5.9;54
1928;8.1;54
1905;7.1;54
1940;5.9;54
1936;5.2;54
1930;4.7;54
1922;21;54
1918;3.9;54
1938;4.7;54
1940;7.1;54
1940;7;54
1925;7.1;54
1939;6.2;54
1939;6.1;54
1933;7.5;54
1938;8;52
1834;4.7;52
1921;5.9;52
1936;5.5;52
1918;7.1;52
1923;7;52
1930;7;52
1929;7.5;52
1920;5.9;52
1903;7.1;52
1931;7.5;52
1934;7;52
1911;6.2;52
1888;5.9;50
1898;5.9;50
1940;5.2;50
1904;7.1;50
1927;7.5;50
1894;7.1;50
1926;5.9;50
1901;5.9;50
1896;7.1;50
1939;7;50
1917;5.9;50
1814;7.1;50
1907;3.9;50
1933;7;50
1898;3.9;50
1938;5.2;50
1940;3.9;50
1941;8;48
1915;7.1;48
1938;6.2;48
1941;4.7;48
1919;5.9;48
1932;6.2;48
1879;4.7;48
1928;4.7;48
1934;5.5;48
1916;3.9;48
1903;4.7;48
1891;5.9;48
1934;7.5;48
1938;5.5;48
1934;4.7;48
1924;7;48
1937;7.5;48
1924;8.1;48
1925;8;46
1939;8;46
1936;10.2;46
1902;7.1;46
1880;5.9;46
1903;5.9;46
1937;5.5;46
1921;5.5;46
1906;7.1;46
1835;4.7;46
1906;4.7;46
1868;4.7;46
1930;7.5;46
1937;4.7;46
1911;5.9;46
1914;7.1;46
1941;10.2;46
1896;5.9;46
1894;5.9;46
1901;7.1;46
1921;7;46
1936;7.1;46
1931;8.1;46
1931;7.1;46
1892;7.1;46
1928;5.5;46
1864;5.9;46
1911;11.9;46
1938;5.9;46
1928;6.2;46
1916;5.9;44
1884;5.9;44
1904;3.9;44
1865;7.1;44
1916;4.7;44
1884;3.9;44
1864;7.1;44
1919;5.5;44
1940;5.5;44
1865;4.7;44
1895;7.1;44
1921;6.9;44
1928;7.3;44
1939;10.2;44
1931;6.9;44
1933;4.7;44
1935;6.2;44
1813;5.9;44
1896;7;44
1935;5.5;44
1920;4.7;44
1917;6.2;44
1815;4.7;44
1837;5.9;44
1884;7.1;44
1933;10.2;44
1910;3.9;42
1840;5.9;42
1926;7.5;42
1889;5.9;42
1930;8.1;42
1937;11.9;42
1907;4.7;42
1929;6.9;42
1893;4.7;42
1941;5.2;42
1892;4.7;42
1941;11.9;42
1909;4.7;42
1926;5.5;42
1923;5.5;42
1929;8.5;42
1825;4.7;42
1929;11.9;42
1885;7.1;42
1866;5.9;42
1911;7.1;42
1918;5.9;42
1901;7;42
1936;7;42
1936;7.5;42
1920;6.2;42
1909;7.5;42
1823;5.3;42
1939;9.8;42
1936;6.9;42
1899;5.9;42
1879;3.9;42
1924;7.5;42
1930;6.9;42
1922;3.9;42
1862;7;40
1903;3.9;40
1856;7.1;40
1941;8.1;40
1882;7.5;40
1938;9.8;40
1923;4.7;40
1911;4.7;40
1914;5.9;40
1913;6.2;40
1924;6.5;40
1890;5.9;40
1937;5.9;40
1933;5.2;40
1922;6.5;40
1916;6.2;40
1914;6.2;40
1874;5.9;40
1905;3.9;40
1890;7.1;40
1841;7;40
1921;4.7;40
1929;5.2;40
1929;5.3;40
1832;5.9;40
1922;7;40
1871;4.7;40
1869;7.5;40
1861;5.9;40
1885;5.9;40
1816;7.5;40
1936;4.7;40
1883;5.9;40
1939;4.9;40
1939;4.8;40
1834;7.1;40
1877;5.9;40
1872;4.7;40
1838;7.5;40
1907;7;40
1929;7;40
1886;5.9;40
1863;4.7;40
1934;8.5;40
1940;11.9;40
1939;7.5;40
1851;5.9;40
1830;7.1;40
1872;5.9;40
1911;7.5;40
1935;7;40
1913;7.1;40
1871;7.5;40
1871;7.1;40
1910;7.1;40
1919;7;40
1858;7.1;40
1815;7.5;40
1925;6.5;40
1931;11.9;40
1905;4.7;40
1897;7.5;40
1855;5.9;40
1934;7.1;40
1861;4.7;40
1829;7.1;40
1893;5.9;40
1935;8.5;38
1932;10.2;38
1923;10.2;38
1891;7.1;38
1931;4.3;38
1875;7.5;38
1875;7.1;38
1869;4.7;38
1868;5.3;38
1864;7;38
1938;8.6;38
1814;4.7;38
1815;5.9;38
1836;5.9;38
1866;6.6;38
1921;5.3;38
1860;4.7;38
1904;7;38
1899;3.9;38
1860;3.9;38
1827;5.9;38
1840;3.9;38
1923;7.5;38
1909;4.3;38
1936;4.6;38
1901;3.9;38
1844;4.7;38
1859;7;38
1927;8.1;38
1908;4.7;38
1921;11.9;38
1863;5.9;38
1866;4.7;38
1932;7.5;38
1932;7;38
1935;5.2;38
1912;4.7;38
1877;7.5;38
1891;5.3;38
1933;3;38
1932;5.5;38
1902;6.2;38
1874;4.7;38
1903;7;38
1922;9.5;38
1938;3;38
1822;7.5;38
1931;17.8;38
1936;8;38
1925;6.6;38
1905;4.3;38
1937;7;38
1831;5.9;38
1895;5.9;38
1940;3.4;38
1920;7;36
1845;7.5;36
1881;4.7;36
1826;6.2;36
1931;10.2;36
1900;3.9;36
1906;3.9;36
1919;8.1;36
1908;11.7;36
1917;7;36
1917;7.5;36
1938;6.5;36
1921;10.2;36
1938;7;36
1914;5.2;36
1834;5.3;36
1898;7.5;36
1924;6.6;36
1863;7;36
1940;6.1;36
1816;6.2;36
1864;7.5;36
1924;11.9;36
1911;3.9;36
1919;5.2;36
1909;5.9;36
1912;6.2;36
1870;5.9;36
1899;6.2;36
1922;6.9;36
1835;5.9;36
1934;6.2;36
1843;7;36
1825;5.9;36
1929;5.5;36
1907;6.2;36
1941;5.7;36
1918;7;36
1941;6.5;36
1880;7.1;36
1923;6.2;36
1923;6.5;36
1921;6.5;36
1928;7;36
1908;5.9;36
1918;8;36
1923;8.6;36
1827;7.1;36
1853;7;36
1836;4.7;36
1844;7.5;36
1931;5.7;36
1930;7.3;36
1935;6.5;36
1815;6.2;36
1926;21;36
1940;9.8;36
1911;5.2;36
1877;5.3;36
1862;5.9;36
1828;7;36
1832;6.2;36
1870;7.5;36
1930;13.3;36
1913;5.2;36
1935;7.5;36
1826;5.9;36
1872;7;36
1859;10.2;36
1849;5.9;36
1831;4.7;36
1858;7.5;36
1897;3.9;36
1927;6.2;36
1909;7;36
1878;7;36
1897;7;36
1873;7.5;36
1886;7.1;36
1933;7.1;36
1893;7.1;36
1901;4.7;36
1904;5.9;36
1905;5.9;36
1939;8.4;34
1813;7.5;34
1813;7.1;34
1916;5.2;34
1888;4.7;34
1832;7.1;34
1915;6.2;34
1831;3.9;34
1937;10.2;34
1857;4.7;34
1871;5.3;34
1925;5.2;34
1876;4.7;34
1935;4.7;34
1935;4.3;34
1937;6.1;34
1908;6.1;34
1898;7;34
1920;9.7;34
1920;8.5;34
1815;8.5;34
1928;8.6;34
1813;4.8;34
1935;13.7;34
1860;5.9;34
1910;5.9;34
1886;6.5;34
1888;9.5;34
1912;8.5;34
1929;4.7;34
1907;5.5;34
1922;6.2;34
1890;7;34
1921;4.6;34
1829;5.9;34
1879;7.3;34
1879;7.1;34
1852;7;34
1931;13.3;34
1826;4.7;34
1839;3.9;34
1923;6.6;34
1885;4.7;34
1910;6.2;34
1922;21.9;34
1839;7;34
1906;6.2;34
1905;6.2;34
1923;8.1;34
1887;4.7;34
1894;3.9;34
1853;7.1;34
1921;8.6;34
1933;4.8;34
1929;8.1;34
1891;3.9;34
1924;3.4;34
1938;4.6;34
1929;10.2;34
1939;11.9;34
1876;7.1;34
1882;5.9;34
1940;7.3;34
1940;7.5;34
1922;4.7;34
1932;4.7;34
1874;6.5;34
1870;7.1;34
1920;5.2;34
1913;5.5;34
1913;5.9;34
1859;5.9;34
1901;7.5;34
1857;5.9;34
1920;6.5;34
1920;6.9;34
1858;4.7;34
1926;4.7;34
1866;7.3;34
1927;6.6;34
1938;3.4;34
1835;7.5;34
1901;9.4;34
1892;7;34
1912;10.2;34
1878;7.1;34
1897;7.1;34
1832;8.5;34
1934;7.3;34
1886;3.9;34
1922;5.2;34
1934;4.3;34
1892;3.9;34
1862;7.3;32
1920;7.3;32
1896;3.9;32
1883;4.7;32
1888;7.3;32
1931;9.5;32
1887;5.3;32
1867;6.9;32
1927;5.3;32
1860;7.1;32
1836;8.1;32
1917;8.5;32
1915;7;32
1915;6.5;32
1919;8;32
1824;3.9;32
1917;7.3;32
1868;5.9;32
1936;10.6;32
1825;6.2;32
1848;7.1;32
1831;8.5;32
1930;8;32
1865;3.9;32
1938;7.5;32
1925;5.7;32
1876;4.4;32
1937;6.5;32
1838;6.2;32
1850;4.7;32
1929;9.5;32
1812;5.9;32
1842;5.9;32
1928;8;32
1939;5.4;32
1921;21.9;32
1932;8.6;32
1932;8;32
1882;4.7;32
1857;7.1;32
1845;4.7;32
1836;5.3;32
1929;6.6;32
1915;5.9;32
1915;5.5;32
1929;4.8;32
1937;5.2;32
1907;21;32
1934;10.2;32
1883;7.3;32
1934;9.8;32
1878;5.3;32
1832;5.3;32
1900;8;32
1875;4.7;32
1879;7.5;32
1820;7.1;32
1900;5.9;32
1940;10.2;32
1923;6.9;32
1875;6.2;32
1885;3.9;32
1926;3;32
1853;4.7;32
1921;8.5;32
1854;5.9;32
1859;7.3;32
1931;5.2;32
1927;4.7;32
1929;8.6;32
1935;6.9;32
1815;6.5;32
1937;4.6;32
1838;7;32
1929;11.7;32
1907;7.5;32
1867;3.9;32
1914;7.5;32
1932;4.3;32
1840;4.7;32
1912;7.5;32
1926;10.2;32
1930;5.5;32
1939;7.3;32
1928;10.2;32
1927;11.7;32
1921;7.3;32
1867;7.1;32
1867;7;32
1928;17.9;32
1917;5.2;32
1826;5.3;32
1897;6.2;32
1917;10.2;32
1823;3.9;32
1919;7.3;32
1874;7;32
1904;6.2;32
1909;7.1;32
1835;7;32
1822;5.9;32
1928;11.9;32
1824;7.1;32
1829;3.9;32
1925;6.9;32
1849;7;32
1915;3.9;32
1844;3.9;32
1922;5.3;32
1938;5.3;32
1899;4.7;32
1908;8;32
1889;7.1;32
1904;5.3;32
1924;8.6;32
1937;9.7;32
1895;6.6;30
1895;6.2;30
1941;9.4;30
1938;11.9;30
1922;8.1;30
1893;8;30
1835;6.2;30
1826;6.5;30
1931;4.7;30
1927;5.7;30
1927;5.2;30
1860;7.5;30
1877;6.5;30
1870;4.7;30
1917;8.4;30
1872;6.2;30
1853;8;30
1919;8.5;30
1888;5.3;30
1930;21;30
1881;5.3;30
1920;10.6;30
1886;9.5;30
1908;10.2;30
1911;4.3;30
1907;11.9;30
1888;3.9;30
1834;5.9;30
1929;9.8;30
1929;9.7;30
1868;7;30
1868;7.1;30
1924;6.9;30
1920;8.6;30
1920;8.1;30
1928;8.5;30
1916;17.9;30
1926;17.8;30
1939;5.7;30
1924;4.7;30
1859;6.2;30
1938;8.5;30
1813;4.7;30
1904;4.7;30
1887;3.9;30
1890;5.3;30
1936;3.6;30
1823;7;30
1899;7.5;30
1860;5.3;30
1880;5.3;30
1811;4.8;30
1920;11.9;30
1910;4.7;30
1910;4.3;30
1907;5.9;30
1883;7.5;30
1868;9.5;30
1868;9.7;30
1838;4.7;30
1934;9.5;30
1906;7.3;30
1906;7.5;30
1895;7.3;30
1922;7.5;30
1932;6.6;30
1837;7.1;30
1894;7.5;30
1894;7;30
1859;4.7;30
1820;7;30
1869;7.1;30
1918;9.5;30
1880;7;30
1887;7.5;30
1932;11.7;30
1839;7.5;30
1861;3.9;30
1931;6.6;30
1816;7;30
1905;6.9;30
1906;5.2;30
1906;5.9;30
1873;4.7;30
1827;7;30
1921;8.1;30
1869;5.9;30
1916;8;30
1856;5.9;30
1939;4.4;30
1939;4.6;30
1939;4.3;30
1844;7.1;30
1832;4.7;30
1935;10.2;30
1927;8;30
1822;6.2;30
1924;9.7;30
1924;3;30
1932;2.5;30
1838;7.1;30
1820;4.7;30
1907;7.3;30
1929;3;30
1929;3.4;30
1865;5.9;30
1941;7.3;30
1861;7.5;30
1861;7;30
1912;7.3;30
1821;4.7;30
1816;4.7;30
1880;3.9;30
1898;6.5;30
1825;7.1;30
1825;7;30
1823;6.2;30
1940;11.7;30
1925;7.3;30
1913;5.3;30
1877;7.1;30
1918;5.7;30
1920;4.8;30
1903;11.9;30
1917;5.5;30
1877;10.2;30
1937;8;30
1855;7;30
1933;11.9;30
1892;6.2;30
1910;7.5;30
1819;7.5;30
1819;7;30
1917;9.5;30
1874;7.1;30
1866;7;30
1939;3;30
1939;3.4;30
1892;5.9;30
1818;7.5;30
1822;7.1;30
1898;4.7;30
1898;8.5;30
1814;7;30
1931;8.4;30
1916;7.5;30
1849;6.2;30
1851;3.9;30
1928;57.6;30
1814;6.2;30
1876;5.9;30
1905;8;30
1815;4.4;30
1828;5.3;30
1936;8.1;30
1895;4.7;30
1914;8.6;30
1913;8;30
1826;7.5;30
1826;7.1;30
1927;9.5;30
1927;9.7;30
1886;7.5;30
1924;5.5;30
1918;10.2;30
1884;4.7;30
1941;9.8;28
1889;9.5;28
1938;11.7;28
1922;8.6;28
1881;4.4;28
1884;6.2;28
1939;8.2;28
1924;10.2;28
1940;8;28
1940;4.3;28
1866;3.9;28
1891;7;28
1926;6.5;28
1906;8.1;28
1925;21;28
1915;7.5;28
1918;4.7;28
1848;5.3;28
1848;5.9;28
1921;2.5;28
1817;7;28
1892;10.2;28
1869;4.6;28
1897;10.2;28
1875;5.3;28
1904;10.2;28
1879;5.9;28
1921;13.3;28
1914;5.7;28
1925;5.5;28
1898;9.4;28
1872;3;28
1935;4.6;28
1938;2.8;28
1830;3.9;28
1864;7.3;28
1842;7.5;28
1935;3.4;28
1864;6.2;28
1902;8;28
1902;8.4;28
1849;3.9;28
1814;4.4;28
1867;5.9;28
1919;5.3;28
1914;9.5;28
1848;8.5;28
1857;7;28
1811;4.7;28
1912;8;28
1915;5.2;28
1929;57.6;28
1903;5.3;28
1878;3.9;28
1814;3.9;28
1929;4.3;28
1920;11;28
1933;5.5;28
1922;6.6;28
1864;3.9;28
1864;3;28
1856;3.9;28
1904;7.5;28
1878;5.9;28
1878;4.7;28
1897;8.1;28
1927;13.3;28
1902;21.9;28
1892;8;28
1922;7.3;28
1814;5.9;28
1837;7;28
1868;3.9;28
1900;6.2;28
1812;7;28
1886;4.7;28
1906;4.3;28
1869;7;28
1940;10.6;28
1868;8.5;28
1833;8.5;28
1941;6;28
1887;7.1;28
1932;11.9;28
1930;4.9;28
1930;4.3;28
1919;21.9;28
1921;9.7;28
1811;5.9;28
1895;10.2;28
1824;5.3;28
1918;8.1;28
1923;8;28
1928;4.4;28
1923;5.3;28
1921;8;28
1869;5.3;28
1859;7.1;28
1834;7.5;28
1869;8;28
1821;5.3;28
1822;6.5;28
1905;9.4;28
1937;4.8;28
1937;4.3;28
1902;3.9;28
1911;5.3;28
1854;7.1;28
1938;4.3;28
1914;7.3;28
1885;7.3;28
1818;3.9;28
1929;7.3;28
1886;5.3;28
1894;4.7;28
1901;2.5;28
1922;4.9;28
1873;9.7;28
1926;8.5;28
1837;4.7;28
1911;9.5;28
1912;7;28
1920;17.9;28
1866;4.8;28
1825;7.5;28
1934;8.1;28
1926;9.7;28
1926;9.8;28
1920;5.5;28
1828;3.9;28
1894;9.5;28
1935;5.7;28
1939;6.5;28
1939;6.6;28
1900;7;28
1867;7.5;28
1880;4.7;28
1937;8.6;28
1919;13.3;28
1871;7;28
1941;3.4;28
1831;4.4;28
1840;7;28
1903;7.5;28
1897;4.7;28
1867;9.5;28
1922;9.7;28
1835;7.1;28
1822;7.3;28
1925;10.2;28
1849;4.7;28
1898;4.4;28
1923;21;28
1920;21;28
1920;21.9;28
1895;3.9;28
1937;3.5;28
1937;3;28
1854;4.7;28
1876;3.9;28
1931;8;28
1918;21.9;28
1919;6.5;28
1933;2.5;28
1932;13.3;28
1876;5.3;28
1928;5.6;28
1913;17.8;28
1811;6.2;28
1852;5.9;28
1826;7;28
1933;6.5;28
1892;11.9;28
1873;7;28
1877;4.7;28
1780;4.7;28
1864;5.3;28
1853;6.2;28
1908;7.5;28
1924;5.2;28
1893;7.5;28
1884;7;28
1889;7.5;28
1889;7.3;28
1930;2.5;28
1901;4.3;28
1927;3.6;28
1928;6.9;28
1937;7.7;28
1930;6.5;28
1862;7.5;26
1941;9.7;26
1893;8.5;26
1845;7.1;26
1939;8.3;26
1888;7.5;26
1813;7;26
1905;10.2;26
1931;9.7;26
1883;3.9;26
1862;3.9;26
1941;8.5;26
1867;6.2;26
1916;5.5;26
1926;6.9;26
1840;5.3;26
1822;4.4;26
1882;7;26
1915;7.3;26
1916;21;26
1832;7;26
1913;4.7;26
1877;3.9;26
1875;7;26
1878;6.2;26
1941;16.9;26
1916;13.3;26
1824;6.2;26
1837;3.9;26
1917;4.7;26
1917;4.9;26
1938;6.9;26
1870;11.9;26
1923;4.4;26
1884;2.5;26
1930;8.5;26
1841;4.7;26
1922;13.3;26
1938;7.3;26
1936;11.9;26
1925;5.3;26
1921;3;26
1876;4.8;26
1872;3.9;26
1865;7;26
1913;6.6;26
1937;6.9;26
1911;8.1;26
1911;8;26
1898;7.3;26
1874;8.5;26
1929;9.4;26
1868;7.5;26
1920;8;26
1819;5.9;26
1863;7.3;26
1829;4.7;26
1868;6.2;26
1939;5.3;26
1924;4.9;26
1859;6.9;26
1813;4.4;26
1881;6.2;26
1823;7.3;26
1899;7;26
1909;5.3;26
1909;5.5;26
1912;6.6;26
1862;4.7;26
1873;5.3;26
1873;5.9;26
1857;7.3;26
1857;7.5;26
1896;6.2;26
1915;5.3;26
1935;16.7;26
1822;8.1;26
1891;6.2;26
1870;5.3;26
1929;4.6;26
1899;6.6;26
1937;5.3;26
1904;9.5;26
1883;7.1;26
1819;3.9;26
1835;5.3;26
1863;3.9;26
1934;6.1;26
1865;6.5;26
1923;13.3;26
1897;8.5;26
1895;7.5;26
1840;10.2;26
1907;6.6;26
1901;6.9;26
1840;8.1;26
1879;7;26
1838;5.3;26
1933;9.5;26
1930;3.6;26
1930;3;26
1862;8.5;26
1923;7.3;26
1865;8;26
1834;6.2;26
1870;8.5;26
1930;4.4;26
1940;13.7;26
1921;9.5;26
1939;10.6;26
1839;7.3;26
1839;4.7;26
1928;2.5;26
1824;5.9;26
1889;3.9;26
1931;6.4;26
1918;6.2;26
1921;16.5;26
1935;9.4;26
1868;4.9;26
1929;72.3;26
1923;9.7;26
1923;5.7;26
1930;11.9;26
1914;4.7;26
1921;8.2;26
1916;8.1;26
1840;6.2;26
1909;57.6;26
1893;6.2;26
1859;7.5;26
1931;5.5;26
1869;8.9;26
1927;4.9;26
1929;8;26
1935;6.1;26
1869;6.2;26
1934;13.7;26
1923;3.5;26
1932;9.5;26
1934;5.3;26
1904;8.6;26
1904;8.5;26
1917;13.3;26
1938;4.4;26
1813;5.1;26
1813;6.2;26
1939;11.4;26
1861;6.2;26
1916;57.6;26
1876;7.3;26
1830;4.7;26
1922;4.6;26
1928;21;26
1926;8.1;26
1926;8;26
1921;11.7;26
1882;3.9;26
1863;6.2;26
1903;4.3;26
1934;8;26
1930;5.3;26
1903;21.9;26
1919;35.1;26
1912;4.3;26
1877;7;26
1918;5.2;26
1901;7.3;26
1817;2.5;26
1920;4.9;26
1907;9.7;26
1921;7.5;26
1936;7.7;26
1844;5.9;26
1888;72.3;26
1890;4.7;26
1915;8.6;26
1941;3;26
1897;21;26
1932;5.7;26
1932;5.2;26
1932;5.3;26
1819;7.1;26
1919;7.5;26
1919;7.4;26
1923;11.4;26
1866;7.5;26
1851;7.5;26
1899;9.5;26
1930;17.5;26
1930;17.8;26
1822;7;26
1909;17.8;26
1928;11.7;26
1922;11.9;26
1877;8;26
1901;9.5;26
1931;7.7;26
1931;7.3;26
1939;9.7;26
1939;9.5;26
1872;9.5;26
1936;8.6;26
1936;8.5;26
1834;3.9;26
1928;9.7;26
1931;11.7;26
1878;7.5;26
1852;5.4;26
1914;8.1;26
1910;9.7;26
1882;6.2;26
1885;6.2;26
1879;6.2;26
1879;6.5;26
1874;3.9;26
1909;9.7;26
1919;10.2;26
1828;6.2;26
1829;7.5;26
1927;3.4;26
1928;6.6;26
1881;7;26
1881;7.1;26
1930;6.6;26
1922;3;26
1909;6.2;26
1836;7;26
1913;3.5;26
1920;16.9;26
1884;4.9;26
1911;6.5;26
1920;7.5;24
1894;11.7;24
1919;16.5;24
1917;21;24
1925;8.1;24
1852;6.2;24
1888;7;24
1888;7.1;24
1935;8;24
1813;7.3;24
1856;7.5;24
1856;7.3;24
1940;4.6;24
1867;6.5;24
1931;4.8;24
1931;4.6;24
1906;17.9;24
1835;8.5;24
1906;8;24
1917;17.8;24
1927;5.5;24
1884;5.2;24
1884;5.3;24
1860;7;24
1925;21.9;24
1917;8.6;24
1882;7.2;24
1882;7.1;24
1911;2.5;24
1876;8;24
1816;3.9;24
1915;6.9;24
1923;17.9;24
1881;5.2;24
1881;5.9;24
1938;12.3;24
1873;6.2;24
1934;11.9;24
1868;5.4;24
1930;8.6;24
1938;7.7;24
1828;8.5;24
1902;7.3;24
1902;7.5;24
1901;10.2;24
1925;72.3;24
1919;11.9;24
1876;6.5;24
1865;7.5;24
1913;6.5;24
1913;6.9;24
1937;6.4;24
1911;8.5;24
1920;8.4;24
1812;5.4;24
1928;8.4;24
1863;7.1;24
1921;31.3;24
1904;21.9;24
1883;6.2;24
1813;9.5;24
1924;4.8;24
1924;4.3;24
1939;12.4;24
1887;3.6;24
1941;4.4;24
1924;11.7;24
1853;5.9;24
1848;6.2;24
1867;5.3;24
1815;5.3;24
1899;7.3;24
1919;5.4;24
1906;10.2;24
1929;6.5;24
1818;4.7;24
1837;6.9;24
1903;5.2;24
1920;11.7;24
1899;6.1;24
1819;2.5;24
1818;5.9;24
1818;5.3;24
1907;5.3;24
1931;3.5;24
1931;3;24
1931;3.4;24
1813;8.5;24
1819;3;24
1883;10.2;24
1934;9.7;24
1921;5.2;24
1890;7.5;24
1843;7.5;24
1906;7;24
1814;8.1;24
1865;6.2;24
1921;4.4;24
1825;5.3;24
1897;8;24
1929;5.4;24
1864;4.7;24
1927;7.4;24
1828;4.7;24
1918;7.5;24
1829;5.2;24
1811;7;24
1852;7.3;24
1852;7.5;24
1852;7.1;24
1837;7.3;24
1837;7.5;24
1888;6.2;24
1933;9.8;24
1897;5.9;24
1936;21;24
1824;9.8;24
1870;6;24
1878;11.9;24
1913;10.2;24
1861;5.4;24
1888;10.2;24
1872;8.5;24
1887;7.2;24
1934;19.3;24
1898;11.7;24
1921;17.8;24
1909;4.5;24
1909;4.9;24
1926;5.3;24
1919;21;24
1859;3.9;24
1910;6.6;24
1910;6.5;24
1834;8.5;24
1894;6.5;24
1918;8.5;24
1855;4.7;24
1905;6.5;24
1935;9.8;24
1923;8.4;24
1928;4.8;24
1910;8.6;24
1923;5.4;24
1925;9.5;24
1836;4.9;24
1931;5.3;24
1933;4.4;24
1927;4.5;24
1927;4.4;24
1907;8.6;24
1907;8.1;24
1821;5.9;24
1910;57.6;24
1801;3.6;24
1932;9.8;24
1934;5.6;24
1902;3.4;24
1911;5.5;24
1920;38.7;24
1854;7;24
1938;4.8;24
1825;4.9;24
1867;3.5;24
1867;3.4;24
1914;7;24
1929;7.7;24
1861;7.1;24
1833;7.5;24
1902;4.4;24
1902;10.2;24
1832;6.5;24
1940;7.7;24
1923;57.6;24
1863;6.5;24
1821;4.8;24
1898;6.2;24
1909;72.3;24
1825;7.3;24
1926;9.4;24
1930;5.7;24
1870;7.3;24
1903;21;24
1851;5.1;24
1855;6.2;24
1830;7;24
1913;5.7;24
1928;10.6;24
1935;5.3;24
1918;5.5;24
1869;3.9;24
1867;7.3;24
1873;38.7;24
1929;13.7;24
1903;11.7;24
1933;3.4;24
1917;5.1;24
1927;2.5;24
1826;5.1;24
1872;7.1;24
1889;6.2;24
1814;9.5;24
1889;4.7;24
1871;7.3;24
1840;7.3;24
1890;9.5;24
1899;17.8;24
1933;16.9;24
1858;7;24
1851;7;24
1927;6.9;24
1909;7.2;24
1925;10.6;24
1877;8.1;24
1877;8.5;24
1814;7.3;24
1931;8.5;24
1916;7.3;24
1931;72.3;24
1914;10.2;24
1939;9.4;24
1932;13.7;24
1912;11.9;24
1892;7.5;24
1905;8.3;24
1891;8.5;24
1903;9.5;24
1828;5.9;24
1878;8;24
1928;9.5;24
1936;6.1;24
1936;6.5;24
1936;6.6;24
1936;6;24
1925;11.9;24
1812;4.9;24
1905;4.9;24
1913;8.6;24
1899;5.5;24
1929;17.8;24
1919;9.5;24
1919;9.4;24
1919;4.5;24
1836;6.9;24
1922;5.5;24
1922;5.1;24
1912;17.8;24
1908;7;24
1916;9.4;24
1934;4.6;24
1884;7.3;24
1884;7.5;24
1830;5.9;24
1937;7.3;24
1831;5.3;24
1938;21.9;24
1891;9.5;24
1909;6.5;24
1936;9.7;24
1911;6.9;24
1827;6.9;24
1940;3;24
1825;3.9;22
1825;3.4;22
1867;4.7;22
1862;7.1;22
1920;7.4;22
1925;8.6;22
1925;8.5;22
1922;8;22
1881;4.9;22
1938;57.6;22
1873;2.5;22
1835;6.9;22
1935;8.1;22
1931;9.4;22
1856;7;22
1770;3.4;22
1940;4.4;22
1857;8.5;22
1931;4.5;22
1931;4.4;22
1916;5.3;22
1932;12.5;22
1835;8.3;22
1822;4.7;22
1900;11;22
1913;4.9;22
1918;4.9;22
1909;21;22
1926;11.9;22
1926;11.7;22
1939;20.1;22
1837;3.5;22
1938;6.1;22
1849;8.5;22
1863;80.4;22
1875;5.4;22
1894;8.5;22
1912;5.3;22
1852;4.7;22
1852;4.9;22
1860;8.3;22
1936;11.4;22
1921;13.7;22
1902;7;22
1914;5.3;22
1898;9.7;22
1865;7.3;22
1865;7.2;22
1901;87.9;22
1879;8.5;22
1850;4.4;22
1830;8.1;22
1879;9.5;22
1819;5.3;22
1940;6.5;22
1940;6.4;22
1892;21;22
1831;7;22
1859;6.5;22
1938;8.2;22
1907;13.7;22
1905;7.3;22
1842;7.1;22
1935;3.6;22
1932;8.1;22
1941;4.9;22
1834;4.4;22
1890;5.7;22
1936;3.4;22
1814;4.6;22
1823;7.5;22
1823;7.1;22
1815;5.4;22
